task_description,task_category,task_required_skill,employer_id,employer_skill,match,required_skills_list,employer_skills_list
"this task involves testing a devops app skills needed kubernetes,terrform,docker",devops,"kubernetes,terrform,docker",f2e2a453-6d34-6798-beb4-08173281ce54,"c,sql,docker,ntworking",0,"['kubernetes', 'terrform', 'docker']","['c', 'sql', 'docker', 'ntworking']"
"this tsk involves designing devops pp skills needed kubernetes,terraform",devops,"kubernetes,terraform",cb63d2b7-6bb1-14b6-b219-6d0a6d9a6d33,"ws,css,java,unreal engine",0,"['kubernetes', 'terraform']","['ws', 'css', 'java', 'unreal engine']"
"this task involves improving a web development app skills needed javascript,react",web development,"javascript,react",d080661e-84dc-a86e-826a-e754de8b3716,"scikitlern,firewlls,aws,dockr,rct ntiv",0,"['javascript', 'react']","['scikitlern', 'firewlls', 'aws', 'dockr', 'rct ntiv']"
"this task involves developing a cybersecurity app skills needed penetration testing,siem,networking",cybersecurity,"penetration testing,siem,networking",a2d1e161-6ba0-b4cf-9250-8647eb04cd10,"unity,javascript,ract nativ",0,"['penetration testing', 'siem', 'networking']","['unity', 'javascript', 'ract nativ']"
"this tsk involves designing devops pp skills needed docker,ws,cicd",devops,"docker,ws,cicd",c90da133-3115-a376-8d92-96ea6ae0da05,"firewalls,jvscript,c,nodejs",0,"['docker', 'ws', 'cicd']","['firewalls', 'jvscript', 'c', 'nodejs']"
"this tsk involves designing mobile development pp skills needed react native,swift,jv",mobile development,"react native,swift,jv",a41f3816-532f-dd6a-5e3c-4f2ef245c9e6,"python,javascript,aws",0,"['react native', 'swift', 'jv']","['python', 'javascript', 'aws']"
"this task involves testing a data science app skills needed numpy,python,pandas",dt science,"numpy,python,pandas",f67624cb-d5e1-0743-c5be-6e1122d0f843,"numpy,penetrtion testing,swift,kubernetes,kotlin",0,"['numpy', 'python', 'pandas']","['numpy', 'penetrtion testing', 'swift', 'kubernetes', 'kotlin']"
"this task involves testing a devops app skills needed kubernetes,docker,terrform",devops,"kubrnts,docker,terrform",d85857c0-5adc-67e2-3e46-1245d49e264c,"javascript,sql,pandas,react,unrel engine",0,"['kubrnts', 'docker', 'terrform']","['javascript', 'sql', 'pandas', 'react', 'unrel engine']"
"this task involves testing a devops app skills needed ws,kubernetes",devops,"ws,kubernetes",09cfad57-b7c0-bcde-8fed-23cf9077c958,"unity,siem,flutter,scikitlearn,blndr",0,"['ws', 'kubernetes']","['unity', 'siem', 'flutter', 'scikitlearn', 'blndr']"
"this task involves designing a web development app skills needed javascript,react,nodejs,html",web development,"javascript,ract,nodejs,html",0346ead4-1f45-b860-673b-35ea65790ab0,"python,unreal engine,numpy,kubrnts",0,"['javascript', 'ract', 'nodejs', 'html']","['python', 'unreal engine', 'numpy', 'kubrnts']"
"this tsk involves testing web development pp skills needed jvscript,html,css,rect",web development,"jvscript,html,css,react",e2b1f388-7aaf-26b7-1ebe-4083d765b3c8,"encryption,rect ntive,penetration testing,pnds",0,"['jvscript', 'html', 'css', 'react']","['encryption', 'rect ntive', 'penetration testing', 'pnds']"
"this tsk involves designing mobile development pp skills needed rect ntive,swift,jv,flutter",mobile development,"rect ntive,swift,java,flutter",c2a4901f-d577-b370-c393-2f5aadd7cf0c,"html,c,ws,rect ntive,encryption",0,"['rect ntive', 'swift', 'java', 'flutter']","['html', 'c', 'ws', 'rect ntive', 'encryption']"
"this task involves designing a data science app skills needed pnds,scikitlern",data science,"pnds,scikitlrn",d4bbc149-4b51-bed2-16df-5df6f9ef7b3d,"unreal engine,html,pandas,encryption,react native",0,"['pnds', 'scikitlrn']","['unreal engine', 'html', 'pandas', 'encryption', 'react native']"
"this task involves developing a mobile development app skills needed swift,flutter,kotlin,java",mobile development,"swift,flutter,kotlin,java",e2892a31-1ac1-21d7-261f-beea4b674145,"css,aws,dockr,nodejs,swift",0,"['swift', 'flutter', 'kotlin', 'java']","['css', 'aws', 'dockr', 'nodejs', 'swift']"
"this task involves testing a cybersecurity app skills needed firewlls,networking",cybersecurity,"firewlls,ntworking",b673e276-4f00-e436-c299-a2d69983f9dc,"react native,jv,docker",0,"['firewlls', 'ntworking']","['react native', 'jv', 'docker']"
"this tsk involves developing cybersecurity pp skills needed networking,firewlls",cybersecurity,"networking,firewlls",e43ed9f0-7bff-6a10-0785-0705e2956520,"react,firwalls,python",0,"['networking', 'firewlls']","['react', 'firwalls', 'python']"
"this task involves developing a devops app skills needed docker,kubernetes,terrform",devops,"docker,kubrnts,trrform",0de1f417-d2b1-c796-e045-e0a88b47841a,"unreal engine,unity,java",0,"['docker', 'kubrnts', 'trrform']","['unreal engine', 'unity', 'java']"
"this task involves testing a web development app skills needed javascript,react,nodejs",web development,"javascript,react,nodejs",37108e72-a32d-3766-09c6-2c841256d8ba,"encryption,flutter,pntration tsting",0,"['javascript', 'react', 'nodejs']","['encryption', 'flutter', 'pntration tsting']"
"this task involves developing a web development app skills needed nodejs,javascript,html,rect",web development,"nodejs,javascript,html,rct",efb419e4-7175-c65d-c484-3e49abaf65ed,"python,kotlin,firewalls,html,sql",0,"['nodejs', 'javascript', 'html', 'rct']","['python', 'kotlin', 'firewalls', 'html', 'sql']"
"this task involves developing a devops app skills needed kubernetes,cicd,terraform,aws",devops,"kubernetes,cicd,trraform,aws",d53b2497-3215-7e7b-005d-85b6b291ce0b,"jvscript,c,scikitlearn,cicd",0,"['kubernetes', 'cicd', 'trraform', 'aws']","['jvscript', 'c', 'scikitlearn', 'cicd']"
"this tsk involves designing gme development pp skills needed c,c,blender",gme development,"c,c,blender",8d7c41e1-8285-685f-f432-e2412d1dfd42,"firwalls,c,jvscript,ract nativ",0,"['c', 'c', 'blender']","['firwalls', 'c', 'jvscript', 'ract nativ']"
"this tsk involves developing gme development pp skills needed unrel engine,unity",game development,"unral engin,unity",fb34190a-4942-a481-890a-307a8d4a6517,"cicd,networking,encryption,scikitlearn,aws",0,"['unral engin', 'unity']","['cicd', 'networking', 'encryption', 'scikitlearn', 'aws']"
"this task involves improving a game development app skills needed c,unity",gme development,"c,unity",4ec10fe7-8996-21b7-e32f-1ec4bd11a19b,"ws,unreal engine,swift",0,"['c', 'unity']","['ws', 'unreal engine', 'swift']"
"this tsk involves designing mobile development pp skills needed rect ntive,kotlin,swift,flutter",mobile development,"ract nativ,kotlin,swift,fluttr",6c60b2ac-2878-68f2-9915-cbc51c8452cf,"terraform,c,c,docker",0,"['ract nativ', 'kotlin', 'swift', 'fluttr']","['terraform', 'c', 'c', 'docker']"
"this task involves testing a cybersecurity app skills needed penetration testing,siem,encryption",cybersecurity,"penetration testing,siem,encryption",4ad4c2a0-209c-37fb-ca97-04cb7e8a00a2,"unral engin,unity,swift,siem",0,"['penetration testing', 'siem', 'encryption']","['unral engin', 'unity', 'swift', 'siem']"
"this tsk involves improving web development pp skills needed css,jvscript,rect,nodejs",web development,"css,jvscript,react,nodjs",bef51fca-d1a4-b32f-baf5-56dd0ce06be6,"sql,kotlin,javascript,pandas,scikitlearn",0,"['css', 'jvscript', 'react', 'nodjs']","['sql', 'kotlin', 'javascript', 'pandas', 'scikitlearn']"
"this tsk involves developing dt science pp skills needed python,numpy",dt science,"python,numpy",afe32c0b-a35b-c3d9-9fb1-129d422ae70e,"cicd,terraform,nodejs",0,"['python', 'numpy']","['cicd', 'terraform', 'nodejs']"
"this task involves testing a data science app skills needed python,sql,pandas",data science,"python,sql,pandas",9bba3b75-cc31-4aba-84f0-f820dd5afd17,"blender,c,encryption",0,"['python', 'sql', 'pandas']","['blender', 'c', 'encryption']"
"this task involves improving a devops app skills needed aws,cicd,docker",devops,"aws,cicd,docker",d37fd01b-58fc-4989-fd8a-abd982e6a4fe,"javascript,python,networking",0,"['aws', 'cicd', 'docker']","['javascript', 'python', 'networking']"
"this tsk involves testing devops pp skills needed terrform,aws,cicd,kubernetes",devops,"terraform,aws,cicd,kubernetes",8656be75-bf7b-3c46-d652-aa071f950517,"numpy,javascript,html,penetrtion testing,swift",0,"['terraform', 'aws', 'cicd', 'kubernetes']","['numpy', 'javascript', 'html', 'penetrtion testing', 'swift']"
"this task involves developing a web development app skills needed css,rect,html",web development,"css,rect,html",c593952f-9c7f-52bb-b4d2-1d651aa59cd9,"numpy,pandas,blender,c,firewalls",0,"['css', 'rect', 'html']","['numpy', 'pandas', 'blender', 'c', 'firewalls']"
"this task involves designing a cybersecurity app skills needed siem,penetration testing,encryption",cybersecurity,"siem,penetration testing,encryption",4c040617-46fb-853e-9692-3d0457ea8e6a,"kubrnts,firewlls,swift,aws",0,"['siem', 'penetration testing', 'encryption']","['kubrnts', 'firewlls', 'swift', 'aws']"
"this tsk involves improving mobile development pp skills needed kotlin,jv,react native,flutter",mobile development,"kotlin,java,react native,fluttr",55cc5b5c-8422-b72d-b4a8-59f73f552616,"encryption,swift,nodejs,c,html",0,"['kotlin', 'java', 'react native', 'fluttr']","['encryption', 'swift', 'nodejs', 'c', 'html']"
"this task involves testing a devops app skills needed docker,terraform",devops,"docker,terraform",a1ad6f9a-d320-6178-ce3e-9ef14b434132,"penetration testing,docker,c",0,"['docker', 'terraform']","['penetration testing', 'docker', 'c']"
"this task involves developing a cybersecurity app skills needed siem,firewlls,networking",cybersecurity,"siem,firwlls,ntworking",ed57e475-6be7-5a15-7d27-361829b535c9,"nodejs,swift,react native,python,kotlin",0,"['siem', 'firwlls', 'ntworking']","['nodejs', 'swift', 'react native', 'python', 'kotlin']"
"this task involves designing a cybersecurity app skills needed encryption,networking,siem",cybersecurity,"encryption,networking,siem",08c69341-cc99-51b3-75b5-1e6f341b8c06,"ws,c,sql,flutter,unrel engine",0,"['encryption', 'networking', 'siem']","['ws', 'c', 'sql', 'flutter', 'unrel engine']"
"this task involves developing a game development app skills needed unreal engine,c,blender,unity",game development,"unreal engine,c,blender,unity",c928a698-f260-f224-b00f-a62ecc963ac8,"encryption,cicd,python",0,"['unreal engine', 'c', 'blender', 'unity']","['encryption', 'cicd', 'python']"
"this task involves designing a cybersecurity app skills needed siem,penetration testing,firewalls",cybersecurity,"siem,penetration testing,firwalls",c20c9c57-8f2c-efe4-3833-dbf8cc067c3f,"dockr,scikitlearn,pnds,c,cicd",0,"['siem', 'penetration testing', 'firwalls']","['dockr', 'scikitlearn', 'pnds', 'c', 'cicd']"
"this task involves testing a web development app skills needed jvscript,css,rect,nodejs",web development,"jvscript,css,rect,nodejs",edb19dc2-d1d0-5047-5ab1-9fcc433465e6,"networking,siem,penetration testing,scikitlarn,sql",0,"['jvscript', 'css', 'rect', 'nodejs']","['networking', 'siem', 'penetration testing', 'scikitlarn', 'sql']"
"this task involves developing a web development app skills needed css,html,react,nodejs",web development,"css,html,react,nodjs",6d418be0-c6d9-6f7c-3fbb-a6676433081b,"kubrnts,pandas,c,ntworking,docker",0,"['css', 'html', 'react', 'nodjs']","['kubrnts', 'pandas', 'c', 'ntworking', 'docker']"
"this task involves developing a web development app skills needed react,css",web development,"react,css",db0a4b7f-acfc-4488-0a5a-76f39046693f,"swift,sql,css",0,"['react', 'css']","['swift', 'sql', 'css']"
"this tsk involves testing web development pp skills needed jvscript,nodejs",web development,"javascript,nodjs",1e3611e6-ad84-2a8e-181f-0355d412a2f0,"blender,c,scikitlern",0,"['javascript', 'nodjs']","['blender', 'c', 'scikitlern']"
"this tsk involves improving web development pp skills needed nodejs,rect",web development,"nodejs,react",495c2fd7-01f2-8305-8c5c-e6384e0d3736,"swift,kotlin,flutter",0,"['nodejs', 'react']","['swift', 'kotlin', 'flutter']"
"this tsk involves improving dt science pp skills needed python,sql,numpy,pnds",data science,"python,sql,numpy,pandas",f6362084-4d34-42c9-5487-a858276c3a16,"css,nodejs,kotlin,rct ntiv",0,"['python', 'sql', 'numpy', 'pandas']","['css', 'nodejs', 'kotlin', 'rct ntiv']"
"this task involves designing a game development app skills needed c,unreal engine,unity",game development,"c,unreal engine,unity",15f5104a-fd8f-e5e8-a85c-941e5ac514f5,"unity,firewlls,sql,scikitlearn",0,"['c', 'unreal engine', 'unity']","['unity', 'firewlls', 'sql', 'scikitlearn']"
"this task involves improving a web development app skills needed html,nodejs",web development,"html,nodejs",82328414-5596-55ba-dfe4-b888484cd4da,"javascript,cicd,pandas,firewalls,nodjs",0,"['html', 'nodejs']","['javascript', 'cicd', 'pandas', 'firewalls', 'nodjs']"
"this task involves improving a devops app skills needed cicd,terrform,kubernetes",devops,"cicd,terrform,kubernetes",dbad99f9-6aab-b260-46b3-470672c0b802,"siem,cicd,css,c,c",0,"['cicd', 'terrform', 'kubernetes']","['siem', 'cicd', 'css', 'c', 'c']"
"this task involves developing a devops app skills needed docker,cicd,kubernetes",devops,"dockr,cicd,kubernetes",12fe2fd3-5c77-ea77-5dfc-923452a138ac,"kotlin,rect,ract nativ,flutter,c",0,"['dockr', 'cicd', 'kubernetes']","['kotlin', 'rect', 'ract nativ', 'flutter', 'c']"
"this task involves developing a cybersecurity app skills needed encryption,siem,firewlls",cybersecurity,"encryption,siem,firewlls",8d54fc4a-9a33-8d75-f0fa-195825758faf,"css,sql,unral engin,java,encryption",0,"['encryption', 'siem', 'firewlls']","['css', 'sql', 'unral engin', 'java', 'encryption']"
"this task involves designing a web development app skills needed css,react,javascript,nodejs",web development,"css,ract,javascript,nodjs",f3483204-b073-9a94-47ed-bf5c684a12b4,"rect ntive,firewalls,unreal engine,blender,siem",0,"['css', 'ract', 'javascript', 'nodjs']","['rect ntive', 'firewalls', 'unreal engine', 'blender', 'siem']"
"this task involves developing a devops app skills needed terraform,docker,ws",devops,"terraform,docker,ws",ea3c2d69-e86c-e935-7e51-8ab91b596796,"scikitlearn,react,css",0,"['terraform', 'docker', 'ws']","['scikitlearn', 'react', 'css']"
"this task involves improving a devops app skills needed cicd,aws",devops,"cicd,aws",70813257-1b0e-22e3-7336-7cfe8914f0c3,"python,scikitlrn,cicd,swift",0,"['cicd', 'aws']","['python', 'scikitlrn', 'cicd', 'swift']"
"this task involves improving a mobile development app skills needed swift,flutter,kotlin,java",mobile development,"swift,flutter,kotlin,java",3e196d82-4d8a-37ac-05af-2a818287eba1,"encryption,kotlin,scikitlearn,blender",0,"['swift', 'flutter', 'kotlin', 'java']","['encryption', 'kotlin', 'scikitlearn', 'blender']"
"this task involves improving a game development app skills needed unity,blender",game development,"unity,blndr",7681d177-2fd0-0f42-2586-60a882f9fa11,"docker,c,numpy,pandas,encryption",0,"['unity', 'blndr']","['docker', 'c', 'numpy', 'pandas', 'encryption']"
"this task involves improving a cybersecurity app skills needed networking,penetration testing",cybersecurity,"ntworking,penetration testing",9aea07d3-d404-6bcc-9305-9c6e82580526,"aws,pnds,flutter,sql",0,"['ntworking', 'penetration testing']","['aws', 'pnds', 'flutter', 'sql']"
"this tsk involves developing web development pp skills needed html,css,rect",web development,"html,css,react",a04f9017-0729-4be1-2e2d-3d9df738799c,"nodjs,cicd,kotlin,kubrnts",0,"['html', 'css', 'react']","['nodjs', 'cicd', 'kotlin', 'kubrnts']"
"this task involves testing a game development app skills needed unreal engine,c,unity",game development,"unreal engine,c,unity",844791ce-7238-b531-eea0-3ea9eaa7357d,"unral engin,firewalls,flutter,javascript,c",0,"['unreal engine', 'c', 'unity']","['unral engin', 'firewalls', 'flutter', 'javascript', 'c']"
"this tsk involves developing web development pp skills needed nodejs,rect,css,jvscript",web development,"nodejs,react,css,javascript",cd3bd7ab-fb07-11b6-9140-7e0cc1af607a,"kotlin,react,nodejs,c",1,"['nodejs', 'react', 'css', 'javascript']","['kotlin', 'react', 'nodejs', 'c']"
"this task involves testing a mobile development app skills needed swift,java",mobile development,"swift,java",da208c99-7ad3-7635-9c40-9a1aeff4f148,"cicd,terraform,docker",0,"['swift', 'java']","['cicd', 'terraform', 'docker']"
"this task involves designing a devops app skills needed docker,terrform,aws",devops,"docker,terrform,aws",ad8c29b0-9873-5ede-0368-5d6bc7b89c61,"kubrnts,c,cicd,siem,flutter",0,"['docker', 'terrform', 'aws']","['kubrnts', 'c', 'cicd', 'siem', 'flutter']"
"this task involves testing a web development app skills needed rect,nodejs",web development,"rect,nodejs",dd1da5eb-6293-db89-00e3-8d4dea2a70ed,"numpy,jv,css,firewalls",0,"['rect', 'nodejs']","['numpy', 'jv', 'css', 'firewalls']"
"this task involves designing a web development app skills needed html,css,nodejs",web development,"html,css,nodejs",a4aa0759-0c33-d8ec-8462-dc0fd1c89309,"unity,blender,terrform,numpy",0,"['html', 'css', 'nodejs']","['unity', 'blender', 'terrform', 'numpy']"
"this task involves developing a game development app skills needed blender,c,unity",gme development,"blender,c,unity",3592f47a-9a2e-bf52-3f52-183248eafa03,"terrform,unity,sql,kubernetes,swift",0,"['blender', 'c', 'unity']","['terrform', 'unity', 'sql', 'kubernetes', 'swift']"
"this task involves testing a data science app skills needed scikitlearn,numpy",dt science,"scikitlearn,numpy",4364578d-2a12-210b-ef33-2f442154123e,"docker,javascript,blndr",0,"['scikitlearn', 'numpy']","['docker', 'javascript', 'blndr']"
"this task involves testing a web development app skills needed css,html,nodejs",web development,"css,html,nodejs",99d05d16-6084-c18e-d12a-689a3379bc5f,"nodjs,css,firewlls,pandas",1,"['css', 'html', 'nodejs']","['nodjs', 'css', 'firewlls', 'pandas']"
"this task involves improving a devops app skills needed cicd,aws,docker",devops,"cicd,aws,dockr",42116713-d4a3-032c-509e-78bc7b35b843,"unity,html,pandas",0,"['cicd', 'aws', 'dockr']","['unity', 'html', 'pandas']"
"this task involves designing a web development app skills needed html,nodejs,jvscript",web development,"html,nodejs,jvscript",75534618-f5bd-0463-7804-a2d9502fe670,"numpy,c,firewlls",0,"['html', 'nodejs', 'jvscript']","['numpy', 'c', 'firewlls']"
"this task involves designing a web development app skills needed react,css,nodejs",web development,"react,css,nodjs",dc1515d0-02f6-d24d-4159-6158cb463142,"numpy,python,terraform",0,"['react', 'css', 'nodjs']","['numpy', 'python', 'terraform']"
"this task involves designing a data science app skills needed numpy,sql,pandas",data science,"numpy,sql,pandas",da804369-4e95-b465-e2b1-fb2d50af9c65,"docker,pandas,ntworking,sql",1,"['numpy', 'sql', 'pandas']","['docker', 'pandas', 'ntworking', 'sql']"
"this task involves designing a devops app skills needed terrform,ws,cicd",devops,"trrform,ws,cicd",091976cc-9a47-3d0c-a581-e71823e2f2d0,"kubernetes,swift,react native,nodejs",0,"['trrform', 'ws', 'cicd']","['kubernetes', 'swift', 'react native', 'nodejs']"
"this task involves developing a mobile development app skills needed kotlin,swift",mobile development,"kotlin,swift",12c4f2d8-ae04-88c6-bfd3-4cfa1846d496,"c,python,siem",0,"['kotlin', 'swift']","['c', 'python', 'siem']"
"this tsk involves improving devops pp skills needed cicd,docker,aws",devops,"cicd,docker,aws",aa71a6fc-f3ff-2af1-3875-93b6854f95e9,"networking,fluttr,html,sql,terraform",0,"['cicd', 'docker', 'aws']","['networking', 'fluttr', 'html', 'sql', 'terraform']"
"this task involves improving a data science app skills needed python,sql",dt science,"python,sql",0ebf2701-a532-3057-9582-b736c236a188,"jv,kotlin,dockr",0,"['python', 'sql']","['jv', 'kotlin', 'dockr']"
"this task involves developing a cybersecurity app skills needed firewalls,encryption,networking",cybersecurity,"firewalls,encryption,ntworking",e6ff311c-fde3-aa04-b61d-2fad806b592b,"encryption,python,siem",0,"['firewalls', 'encryption', 'ntworking']","['encryption', 'python', 'siem']"
"this task involves improving a game development app skills needed blender,unreal engine,c",game development,"blender,unral engin,c",6025b0ea-755e-4c73-17a5-fd5ac41f4714,"encryption,unity,css,swift",0,"['blender', 'unral engin', 'c']","['encryption', 'unity', 'css', 'swift']"
"this task involves testing a devops app skills needed docker,cicd",devops,"docker,cicd",ffc3addf-c859-9bcd-ab5b-134308873719,"javascript,dockr,unral engin",0,"['docker', 'cicd']","['javascript', 'dockr', 'unral engin']"
"this task involves improving a cybersecurity app skills needed firewlls,networking,penetrtion testing,siem",cybersecurity,"firewlls,networking,penetrtion testing,siem",b991a847-738a-f29c-94ee-f558aff39130,"blndr,nodejs,html,cicd,scikitlearn",0,"['firewlls', 'networking', 'penetrtion testing', 'siem']","['blndr', 'nodejs', 'html', 'cicd', 'scikitlearn']"
"this task involves testing a mobile development app skills needed flutter,swift,react native",mobile development,"flutter,swift,react native",b40b309d-e21a-495e-d341-7b3c16a93586,"firewalls,python,pnds",0,"['flutter', 'swift', 'react native']","['firewalls', 'python', 'pnds']"
"this task involves developing a game development app skills needed blender,unity,c,c",game development,"blender,unity,c,c",0d0e050b-d287-c5d2-6b40-208a242cc8cc,"flutter,firwalls,pandas,swift",0,"['blender', 'unity', 'c', 'c']","['flutter', 'firwalls', 'pandas', 'swift']"
"this tsk involves improving cybersecurity pp skills needed networking,siem,firewalls",cybersecurity,"ntworking,siem,firewalls",fefb410b-bc2b-3ae1-574e-ccd5bb0bdba9,"css,aws,networking",0,"['ntworking', 'siem', 'firewalls']","['css', 'aws', 'networking']"
"this tsk involves developing cybersecurity pp skills needed siem,encryption,firewlls,penetrtion testing",cybersecurity,"siem,encryption,firewalls,penetration testing",fa4e81de-e557-12a7-3221-8ba02f2fb45a,"unral engin,c,siem",0,"['siem', 'encryption', 'firewalls', 'penetration testing']","['unral engin', 'c', 'siem']"
"this task involves improving a web development app skills needed css,rect",web development,"css,rect",345a7bbd-7af8-5e6d-49ca-d9cd6e454a1e,"encryption,kubernetes,scikitlrn,firewalls",0,"['css', 'rect']","['encryption', 'kubernetes', 'scikitlrn', 'firewalls']"
"this task involves developing a data science app skills needed python,numpy",data science,"python,numpy",971daebb-2421-7b88-6693-620409c10573,"css,firewlls,blender,encryption",0,"['python', 'numpy']","['css', 'firewlls', 'blender', 'encryption']"
"this task involves improving a devops app skills needed terrform,aws,cicd",devops,"terrform,aws,cicd",5a42872a-3ca0-49be-bb48-721c4b58f665,"networking,terrform,c,python",0,"['terrform', 'aws', 'cicd']","['networking', 'terrform', 'c', 'python']"
"this task involves designing a web development app skills needed css,html,nodejs",web development,"css,html,nodejs",1a5e74b4-1807-27e4-a495-37d345a322eb,"firewlls,scikitlarn,react native,flutter,networking",0,"['css', 'html', 'nodejs']","['firewlls', 'scikitlarn', 'react native', 'flutter', 'networking']"
"this tsk involves testing dt science pp skills needed sql,scikitlern,python,pnds",data science,"sql,scikitlarn,python,pandas",ee5009dd-30ce-2757-3dd5-c2baf6df6114,"siem,terraform,ws",0,"['sql', 'scikitlarn', 'python', 'pandas']","['siem', 'terraform', 'ws']"
"this task involves testing a web development app skills needed javascript,css",web development,"javascript,css",d66c98a3-9cda-51af-df97-faeae1bd5f64,"jv,python,unreal engine,aws",0,"['javascript', 'css']","['jv', 'python', 'unreal engine', 'aws']"
"this task involves designing a web development app skills needed html,rect,nodejs,jvscript",web development,"html,rct,nodejs,jvscript",d0e73015-7e22-4b29-929d-57e6d1fb0773,"terraform,blender,sql",0,"['html', 'rct', 'nodejs', 'jvscript']","['terraform', 'blender', 'sql']"
"this task involves developing a mobile development app skills needed flutter,kotlin",mobile development,"flutter,kotlin",ad80072c-982d-0589-97f3-c377081aeac4,"kotlin,blndr,kubernetes,jvscript",0,"['flutter', 'kotlin']","['kotlin', 'blndr', 'kubernetes', 'jvscript']"
"this task involves improving a data science app skills needed scikitlern,python,numpy",dt science,"scikitlern,python,numpy",d7f79644-2cd4-7ceb-df97-82d1cdea7041,"siem,kubrnts,trraform,css",0,"['scikitlern', 'python', 'numpy']","['siem', 'kubrnts', 'trraform', 'css']"
