experience_level,total_tasks_completed,missed_deadlines,average_task_duration,task_quality_score,performance_score,deadline_adherence,task_efficiency,completion_rate,productivity
3,52,14,4.4,73,53.73,40,0.65,0.7878787759412307,13.07162514629769
1,51,9,3.5,71,60.68,55,0.74,0.8499999858333336,17.242856855476195
1,67,11,4.3,56,55.63,45,0.75,0.8589743479618673,11.186642671131295
2,25,14,3.4,74,50.92,40,0.5,0.6410256245890866,13.95173418223306
1,60,14,3.3,71,56.63,40,0.68,0.8108107998539081,17.444717208978023
3,78,10,5.0,66,60.29,50,0.8,0.8863636262913225,11.699999867045458
3,55,13,4.2,53,50.41,40,0.68,0.8088235175173012,10.206582482956419
1,78,14,3.9,73,59.35,40,0.74,0.8478260777410209,15.869565044896033
1,79,12,3.6,72,62.22,40,0.77,0.8681318585919576,17.36263717183915
1,21,8,4.2,65,53.55,60,0.57,0.7241379060642101,11.206896165279442
1,48,9,3.1,68,60.04,55,0.73,0.8421052483841185,18.471986093587116
1,23,12,3.2,59,49.26,40,0.5,0.6571428383673475,12.11607108239797
1,20,13,3.1,52,45.79,40,0.5,0.6060605876951337,10.166177600047403
1,38,11,4.0,52,49.84,45,0.63,0.7755101882548942,10.081632447313623
1,45,8,4.2,66,58.17,60,0.74,0.8490565877536493,13.342317807557347
1,44,12,3.1,59,53.25,40,0.65,0.7857142716836738,14.953916783657018
3,29,8,4.4,66,54.91,60,0.64,0.7837837626004389,11.756756439006583
1,72,9,3.5,71,64.48,55,0.8,0.8888888779149522,18.031745809131888
1,34,13,4.4,66,49.78,40,0.57,0.7234042399275694,10.851063598913539
1,78,14,5.0,70,56.54,40,0.74,0.8478260777410209,11.869565088374292
3,41,11,4.4,53,49.93,45,0.65,0.7884615232988169,9.497377439735748
1,70,13,4.8,70,56.66,40,0.73,0.8433734838147773,12.299196638965503
1,67,8,4.9,72,62.52,60,0.81,0.8933333214222224,13.126530437224494
2,40,12,4.0,55,49.81,40,0.62,0.7692307544378701,10.576922873520715
1,78,9,4.4,61,61.22,55,0.81,0.8965517138327389,12.429466941772061
2,75,9,4.7,74,63.67,55,0.81,0.8928571322278913,14.057750592524245
1,41,13,3.7,71,53.67,40,0.61,0.7592592451989029,14.56956929976273
1,55,14,3.5,74,56.18,40,0.66,0.7971014377231675,16.853001826146972
1,53,12,4.9,69,54.34,40,0.69,0.815384602840237,11.481946448158437
1,49,14,4.5,66,51.1,40,0.64,0.777777765432099,11.407407226337451
1,44,14,3.4,66,52.19,40,0.61,0.7586206765755056,14.726166074700991
2,64,12,3.9,59,55.42,40,0.73,0.8421052520775625,12.739540992968253
1,47,8,4.6,56,55.09,60,0.75,0.8545454390082647,10.403161866187572
1,20,13,4.1,65,47.51,40,0.5,0.6060605876951337,9.6082776098009
1,68,13,4.3,62,55.03,40,0.72,0.8395061624752326,12.104507458945214
1,64,10,4.5,52,54.85,50,0.76,0.8648648531775021,9.993993858940023
1,23,13,4.2,51,44.07,40,0.5,0.6388888711419759,7.757936292438279
1,26,9,4.1,65,53.43,55,0.59,0.7428571216326537,11.777003147834755
1,68,8,4.5,55,58.81,60,0.81,0.8947368303324101,10.935672370729456
1,28,12,4.5,55,46.72,40,0.54,0.6999999825000005,8.555555341666672
1,55,13,4.3,62,52.67,40,0.68,0.8088235175173012,11.66210653164481
1,38,8,3.7,56,55.09,60,0.7,0.8260869385633275,12.502937448526037
1,20,13,3.8,54,45.06,40,0.5,0.6060605876951337,8.612439930404532
1,29,12,4.9,73,51.07,40,0.55,0.7073170559190962,10.537580628998779
3,55,11,3.2,56,55.45,45,0.71,0.8333333207070709,14.583333112373738
1,28,12,3.5,51,47.45,40,0.54,0.6999999825000005,10.199999745000008
1,64,12,4.0,66,57.14,40,0.73,0.8421052520775625,13.894736659279781
1,65,12,4.7,62,54.97,40,0.73,0.8441558331927814,11.135672693181371
3,61,13,3.3,74,58.84,40,0.7,0.8243243131848066,18.48484823505324
2,51,10,3.6,70,59.02,50,0.72,0.8360655600644991,16.25683033458748
1,51,12,3.1,70,57.51,40,0.68,0.8095237966742255,18.279569602321217
1,25,9,4.4,65,52.7,55,0.58,0.7352940960207619,10.862299145761254
2,67,9,3.5,69,63.03,55,0.79,0.8815789357686983,17.37969901944005
1,57,8,3.8,51,56.99,60,0.78,0.8769230634319529,11.769230588165685
1,36,10,3.9,54,51.41,50,0.64,0.7826086786389418,10.836120165769964
1,29,8,4.8,67,54.46,60,0.64,0.7837837626004389,10.940315019631127
1,69,9,3.8,56,59.32,55,0.79,0.884615373274162,13.036437079829756
2,46,14,3.3,60,51.1,40,0.62,0.7666666538888891,13.939393707070712
3,73,9,4.0,74,64.57,55,0.8,0.8902438915823916,16.469511994274246
1,69,11,4.9,74,59.8,45,0.76,0.8624999892187502,13.025510041262757
1,54,12,4.2,60,53.34,40,0.69,0.8181818057851242,11.688311511216058
1,71,14,5.0,71,55.54,40,0.72,0.8352941078200693,11.861176331044984
2,78,9,4.7,66,62.04,55,0.81,0.8965517138327389,12.589875130417184
2,40,13,3.1,65,52.95,40,0.61,0.7547169668921327,15.824710596125364
2,44,13,4.3,62,50.68,40,0.63,0.7719298110187752,11.130150763526526
2,47,8,3.6,71,60.98,60,0.75,0.8545454390082647,16.853535047107442
1,66,14,4.1,54,51.65,40,0.7,0.8249999896875001,10.865853522713417
1,34,8,3.6,69,58.08,60,0.68,0.8095237902494337,15.515872646447477
1,23,12,3.7,65,49.99,40,0.5,0.6571428383673475,11.54440121456151
2,48,12,4.8,71,54.15,40,0.67,0.7999999866666669,11.833333136111115
1,78,11,3.4,71,63.34,45,0.78,0.8764044845347811,18.301387765285135
1,28,10,4.7,65,51.5,50,0.58,0.7368420858725767,10.190369272705848
1,46,8,3.1,65,60.07,60,0.74,0.8518518360768179,17.861409466126826
1,45,12,3.2,63,54.34,40,0.65,0.7894736703601111,15.542762885214687
1,38,8,4.7,55,53.01,60,0.7,0.8260869385633275,9.666974812975107
1,75,12,4.3,51,54.52,40,0.76,0.8620689556084028,10.22453877582059
1,47,9,4.5,63,55.97,55,0.72,0.8392856992984697,11.749999790178576
1,36,8,3.4,65,57.72,60,0.69,0.8181817995867773,15.641710874453095
1,62,9,4.1,72,61.86,55,0.77,0.8732394243205716,15.334936231971014
1,76,8,4.5,69,64.06,60,0.83,0.9047618939909299,13.873015707860924
2,60,10,4.3,62,57.2,50,0.75,0.8571428448979594,12.358803810156624
1,61,11,3.9,64,57.45,45,0.73,0.8472222104552471,13.903133710034826
1,69,13,4.9,61,53.85,40,0.73,0.8414634043723975,10.475360748309438
2,39,13,4.4,58,48.51,40,0.6,0.7499999855769234,9.886363446241262
1,64,13,4.8,67,54.76,40,0.71,0.831168820374431,11.601731451059766
2,59,9,4.5,70,60.04,55,0.77,0.8676470460640141,13.496731827662442
1,58,14,4.5,63,51.92,40,0.67,0.8055555443672842,11.277777621141977
1,68,12,3.2,69,60.13,40,0.74,0.8499999893750002,18.32812477089844
1,72,13,3.7,74,60.1,40,0.73,0.847058813564014,16.94117627128028
1,42,10,4.7,53,50.77,50,0.68,0.8076922921597637,9.108019464780314
1,66,13,3.5,57,54.76,40,0.72,0.8354430273994554,13.605786446219701
1,51,8,3.2,57,58.62,60,0.76,0.8644067650100549,15.397245501741603
3,71,9,3.7,71,63.94,55,0.8,0.8874999889062501,17.03040519252534
1,66,14,3.4,71,57.54,40,0.7,0.8249999896875001,17.227940961121327
2,52,8,4.9,65,57.9,60,0.76,0.8666666522222225,11.496598447845807
1,76,14,4.7,73,57.54,40,0.73,0.8444444350617285,13.115839097767273
2,65,8,4.0,59,60.26,60,0.8,0.8904109467066994,13.133561463923817
1,24,8,3.1,74,58.53,60,0.6,0.7499999765625008,17.903225246975826
1,62,11,4.4,70,58.35,45,0.74,0.8493150568586979,13.511830450024737
1,67,11,4.2,66,58.53,45,0.75,0.8589743479618673,13.498168325115058
1,53,12,4.9,50,49.17,40,0.69,0.815384602840237,8.320251049390173
2,59,9,4.1,67,59.95,55,0.77,0.8676470460640141,14.178622460070477
1,30,10,3.7,59,52.04,50,0.6,0.7499999812500006,11.959459160472981
1,69,10,4.0,70,61.55,50,0.78,0.8734177104630669,15.284809933103672
1,22,10,5.0,53,46.6,50,0.52,0.6874999785156257,7.287499772265633
1,77,8,4.4,50,59.26,60,0.83,0.9058823422837372,10.294117525951558
3,52,11,4.3,53,52.1,45,0.7,0.8253968122952887,10.173495593407047
3,30,9,3.5,53,51.98,55,0.62,0.769230749506904,11.648351349675975
3,35,8,4.5,53,52.28,60,0.69,0.8139534694429427,9.586563084550214
1,37,14,4.5,66,48.93,40,0.57,0.7254901818531337,10.640522667179294
1,49,11,3.6,58,54.18,45,0.69,0.8166666530555559,13.157407188117288
3,67,11,4.0,68,59.44,45,0.75,0.8589743479618673,14.602563915351745
1,74,13,3.6,62,57.39,40,0.74,0.8505747028669575,14.648786549375378
3,29,13,3.5,53,46.97,40,0.53,0.6904761740362816,10.455782063977978
3,37,9,3.1,54,54.24,55,0.67,0.8043478086011346,14.0112198917617
2,57,14,3.6,62,53.1,40,0.67,0.8028168901011706,13.826290885075716
1,38,9,4.1,72,57.51,55,0.68,0.8085106210955187,14.19823529728716
1,55,9,3.0,65,60.68,55,0.75,0.8593749865722659,18.619791375732426
2,78,8,3.6,71,66.6,60,0.83,0.9069767336398055,17.887596691229497
1,32,12,4.8,54,46.63,40,0.57,0.7272727107438021,8.181817995867773
1,75,9,4.2,57,59.95,55,0.81,0.8928571322278913,12.117346794521382
1,65,13,4.2,65,55.48,40,0.71,0.8333333226495728,12.896825231481484
3,22,12,3.8,50,45.55,40,0.5,0.6470588044982705,8.513931638135139
1,29,8,4.4,72,56.54,60,0.64,0.7837837626004389,12.825552478916274
1,57,12,3.4,55,53.97,40,0.7,0.8260869445494646,13.363171161829575
1,20,10,4.6,60,48.87,50,0.5,0.6666666444444451,8.69565188405798
1,74,14,3.2,65,57.72,40,0.73,0.8409090813533059,17.080965714989023
3,75,12,4.3,54,55.33,40,0.76,0.8620689556084028,10.825982233221803
1,46,9,3.7,65,57.78,55,0.72,0.8363636211570251,14.692874425731523
1,65,8,4.5,56,58.53,60,0.8,0.8904109467066994,11.080669559016703
2,27,14,4.1,68,48.39,40,0.5,0.6585365693039862,10.922069929919772
2,70,9,3.9,50,57.69,55,0.8,0.8860759381509375,11.359947925012019
1,65,14,3.3,58,54.0,40,0.7,0.8227847997115848,14.461066176749068
2,61,13,4.3,67,55.12,40,0.7,0.8243243131848066,12.844123019391173
1,36,10,4.9,62,51.77,50,0.64,0.7826086786389418,9.90239552563559
1,28,13,4.7,64,47.6,40,0.52,0.6829268126115412,9.299428937689072
2,25,9,3.1,52,51.53,55,0.58,0.7352940960207619,12.333965481638586
2,62,9,3.8,73,62.67,55,0.77,0.8732394243205716,16.77538894089519
2,44,9,4.9,59,53.61,55,0.71,0.830188663581346,9.9961492145509
3,58,11,4.0,58,55.09,45,0.72,0.8405796979626131,12.18840562045789
1,68,10,4.3,62,58.65,50,0.77,0.8717948606180146,12.570065432166723
1,79,14,4.8,65,55.72,40,0.74,0.849462356457394,11.50313607702721
2,47,9,4.7,52,52.61,55,0.72,0.8392856992984697,9.285714119897964
1,52,9,4.0,71,59.95,55,0.74,0.8524590024187049,15.131147292932011
2,73,14,3.9,72,58.17,40,0.72,0.8390804501255121,15.490716002317146
2,56,13,3.7,64,54.49,40,0.68,0.8115941911363161,14.038386008844387
2,28,13,4.4,66,48.69,40,0.52,0.6829268126115412,10.243902189173117
1,37,9,3.6,63,55.79,55,0.67,0.8043478086011346,14.076086650519855
1,75,8,3.5,56,62.16,60,0.82,0.9036144469444043,14.457831151110469
1,78,11,3.7,69,62.25,45,0.78,0.8764044845347811,16.34375930618916
1,40,13,3.4,65,52.4,40,0.61,0.7547169668921327,14.428412602349598
1,21,8,4.4,70,54.55,60,0.57,0.7241379060642101,11.52037577829425
1,77,11,4.2,57,57.9,45,0.78,0.8749999900568183,11.87499986505682
1,62,9,4.0,53,56.87,55,0.77,0.8732394243205716,11.570422372247574
1,78,10,3.8,69,63.28,50,0.8,0.8863636262913225,16.094497424763485
1,79,12,4.8,73,60.32,40,0.77,0.8681318585919576,13.20283868275269
1,57,12,3.1,64,56.96,40,0.7,0.8260869445494646,17.054698210053463
1,77,9,4.5,54,58.96,55,0.81,0.8953488267982694,10.744185921579234
2,59,13,4.8,62,52.49,40,0.69,0.8194444330632717,10.584490593733927
1,55,8,3.9,55,57.54,60,0.77,0.8730158591584785,12.311762116337517
1,69,10,4.1,54,57.02,50,0.78,0.8734177104630669,11.5035503329282
1,79,14,4.9,66,55.82,40,0.74,0.849462356457394,11.441737862487347
2,62,11,3.4,56,56.36,45,0.74,0.8493150568586979,13.988718583555025
1,56,9,4.0,55,56.33,55,0.76,0.8615384482840239,11.846153663905328
1,34,10,3.9,51,50.23,50,0.63,0.7727272551652897,10.104894875238404
1,47,10,3.5,60,55.76,50,0.7,0.8245613890427826,14.135338097876273
1,37,13,4.6,56,47.24,40,0.59,0.7399999852000003,9.008695472000003
1,53,11,4.8,71,56.27,45,0.71,0.8281249870605472,12.24934876693726
1,41,10,4.6,70,55.39,50,0.67,0.8039215528642834,12.233588847934747
1,30,13,3.4,57,48.42,40,0.54,0.697674402379665,11.696306157541443
2,77,8,3.2,54,62.52,60,0.83,0.9058823422837372,15.286764526038064
3,76,13,4.2,67,58.02,40,0.75,0.8539325746749149,13.622257738861737
1,32,8,3.1,71,59.17,60,0.67,0.7999999800000005,18.322580187096786
1,23,8,4.3,65,53.73,60,0.59,0.7419354599375658,11.215303464172507
2,41,14,4.1,63,49.56,40,0.59,0.7454545319008268,11.454545246280999
1,26,14,4.3,61,45.94,40,0.5,0.6499999837500005,9.22093000203489
1,62,10,4.2,66,58.84,50,0.76,0.8611110991512347,13.531745843805117
1,73,13,3.8,54,54.67,40,0.74,0.8488371994321257,12.06242336035126
1,43,14,3.4,63,51.19,40,0.61,0.7543859516774395,13.978327928140791
3,23,8,3.6,55,52.28,60,0.59,0.7419354599375658,11.335125082379477
2,47,14,4.0,64,51.1,40,0.63,0.7704917906476756,12.32786865036281
1,34,11,4.3,56,49.65,45,0.61,0.7555555387654325,9.83979306299168
1,20,10,4.6,63,49.68,50,0.5,0.6666666444444451,9.130434478260879
1,74,13,4.5,67,57.11,40,0.74,0.8505747028669575,12.66411224268581
1,22,13,4.9,50,42.35,40,0.5,0.6285714106122454,6.413993985839238
1,33,12,3.6,55,49.26,40,0.58,0.7333333170370374,11.203703454732516
1,57,13,3.1,52,52.49,40,0.69,0.8142857026530614,13.658985979986836
2,69,10,3.7,54,57.75,50,0.78,0.8734177104630669,12.747177395947464
1,76,11,4.5,61,58.26,45,0.78,0.8735632083498482,11.841634602075722
1,20,13,3.9,60,46.51,40,0.5,0.6060605876951337,9.324009041463597
3,57,12,4.6,62,53.7,40,0.7,0.8260869445494646,11.134215339579741
2,57,10,4.1,65,57.84,50,0.74,0.8507462559590111,13.487440643252615
1,40,8,4.9,67,56.27,60,0.71,0.8333333159722226,11.394557585742636
1,67,9,4.9,66,59.68,55,0.79,0.8815789357686983,11.874328522598791
1,48,9,3.1,66,59.5,55,0.73,0.8421052483841185,17.9286923849522
1,24,8,3.9,60,53.28,60,0.6,0.7499999765625008,11.538461177884628
1,68,14,4.2,69,55.91,40,0.71,0.829268282569899,13.623693213648341
2,29,13,3.5,59,48.6,40,0.53,0.6904761740362816,11.639455505183033
1,47,9,3.8,65,57.78,55,0.72,0.8392856992984697,14.356202751158037
1,40,14,4.4,51,45.58,40,0.59,0.74074072702332,8.585858426861208
1,69,9,3.5,66,62.58,55,0.79,0.884615373274162,16.681318467455625
1,26,8,4.2,71,56.09,60,0.62,0.7647058598615925,12.927170488136444
2,22,13,4.4,69,48.42,40,0.5,0.6285714106122454,9.857142575510212
2,64,13,3.2,59,55.48,40,0.71,0.831168820374431,15.32467512565357
1,66,14,4.0,62,54.0,40,0.7,0.8249999896875001,12.78749984015625
1,39,8,3.5,61,56.99,60,0.71,0.8297872163875061,14.462005771325106
1,38,14,4.4,64,48.75,40,0.58,0.7307692167159766,10.629370424959658
1,54,13,3.4,56,52.49,40,0.67,0.8059701372243263,13.274802260165375
1,23,13,4.8,71,48.42,40,0.5,0.6388888711419759,9.45023121897506
1,24,10,3.9,70,53.58,50,0.55,0.7058823321799315,12.669682885280821
1,20,14,3.4,62,46.76,40,0.5,0.5882352768166096,10.726643283126412
1,23,10,3.9,61,50.95,50,0.53,0.6969696758494038,10.901320570977854
1,31,8,3.8,61,55.0,60,0.66,0.7948717744904674,12.75978374839961
1,79,11,3.9,51,57.17,45,0.78,0.8777777680246915,11.47863235109212
1,46,9,4.2,54,53.88,55,0.72,0.8363636211570251,10.75324655773318
1,75,10,4.0,74,63.73,50,0.79,0.8823529307958479,16.323529219723184
1,61,9,3.3,74,63.67,55,0.77,0.871428558979592,19.54112526196661
2,42,12,3.1,51,50.71,40,0.64,0.7777777633744859,12.7956986877738
1,44,8,4.5,72,59.08,60,0.73,0.8461538298816571,13.538461278106514
1,40,11,4.1,69,54.64,45,0.65,0.7843137101114959,13.199425853095908
1,77,12,3.7,62,58.96,40,0.76,0.865168529604848,14.497418604189345
1,71,12,4.6,52,53.52,40,0.75,0.8554216764407028,9.669984168460118
